conversation_id,tweet_id,text,timestamp,text_clean,cluster_id
conv_422248,422247,"@AmazonHelp Yes.
Already given all details",2017-10-10T10:45:25+00:00,Yes. Already given all details,10
conv_2946755,2946757,"@AmazonHelp Si une solution : Réexpédition de mon colis mais 2 fois à quelques jours d'intervalle ça fait beaucoup de colis endommagés, j'vais finir par demander des boites en plomb. Et je ne sais pas pourquoi ils arrivent dans cet état là (ou n'arrive même pas d'ailleurs)",2017-11-29T17:07:26+00:00,"Si une solution : Réexpédition de mon colis mais 2 fois à quelques jours d'intervalle ça fait beaucoup de colis endommagés, j'vais finir par demander des boites en plomb. Et je ne sais pas pourquoi ils arrivent dans cet état là (ou n'arrive même pas d'ailleurs)",19
conv_1473744,1473744,@AmazonHelp what’s wrong with this picture??? https://t.co/LNpAcpc4uW,2017-11-03T01:48:09+00:00,what’s wrong with this picture???,10
conv_234205,234177,@AmazonHelp How many times do you want me to drop in the details? Are you kidding me,2017-10-05T15:03:32+00:00,How many times do you want me to drop in the details? Are you kidding me,12
conv_2771700,2771699,@AmazonHelp So... you charge a fee to remove ads?,2017-11-21T13:43:03+00:00,So... you charge a fee to remove ads?,10
conv_2195588,2195594,@AmazonHelp no closer to getting my issue resolved. more time spent on the phone achieving nothing.,2017-11-09T22:40:35+00:00,no closer to getting my issue resolved. more time spent on the phone achieving nothing.,10
conv_1971944,1971943,@AmazonHelp Ur agent tells me I did not place an order. What nonsense is this?,2017-10-29T02:58:51+00:00,Ur agent tells me I did not place an order. What nonsense is this?,8
conv_1766062,1766060,@AmazonHelp Oh I didn’t attach a photo. 🤷🏻‍♂️ https://t.co/oMFJnlC3rb,2017-11-07T21:19:38+00:00,Oh I didn’t attach a photo. 🤷🏻‍♂️,10
conv_627759,627759,@AmazonHelp habe eben 2 Dinge zurückgesendet. Eines sollte mit Hermes &amp; eines mit DHL gesendet werden. Habe beides mit DHL - ist das OK? Denn Hermes habe ich innerhalb meines Umkreises keine Filiale.,2017-11-22T14:34:02+00:00,habe eben 2 Dinge zurückgesendet. Eines sollte mit Hermes &amp; eines mit DHL gesendet werden. Habe beides mit DHL - ist das OK? Denn Hermes habe ich innerhalb meines Umkreises keine Filiale.,10
conv_844080,844078,@AmazonHelp I already followed this link and put a call across to your customer service. Nobody could tell me why my account was locked. Cc: Jeff Bezos,2017-10-15T15:32:40+00:00,I already followed this link and put a call across to your customer service. Nobody could tell me why my account was locked. Cc: Jeff Bezos,11
conv_854505,854504,@AmazonHelp It says preparing for shipment!,2017-10-20T15:49:06+00:00,It says preparing for shipment!,10
conv_834412,834410,"@AmazonHelp I already have many times. Through email, chat, and phone. I lost money and valuable items because of mistakes and neglect on your part.",2017-10-13T07:32:19+00:00,"I already have many times. Through email, chat, and phone. I lost money and valuable items because of mistakes and neglect on your part.",16
conv_869853,869849,@AmazonHelp The order was refunded and I don’t know where the delivery is going. How the courier can’t find this building I’ll never know!,2017-10-20T16:24:11+00:00,The order was refunded and I don’t know where the delivery is going. How the courier can’t find this building I’ll never know!,12
conv_1204443,1204457,@AmazonHelp I have already replied on the email I received today 1 hr ago but doesn't receive any reply. @115850 @amazonHelp,2017-10-25T14:08:31+00:00,I have already replied on the email I received today 1 hr ago but doesn't receive any reply.,16
conv_1519067,1519063,"@AmazonHelp Habe mich bereits bei euch im Chat beschwert, Bestellung wird storniert. Kaufe morgen im Media Markt",2017-11-03T19:42:16+00:00,"Habe mich bereits bei euch im Chat beschwert, Bestellung wird storniert. Kaufe morgen im Media Markt",10
conv_684806,684802,@AmazonHelp Nah just ordered it and bow its says Tuesday but its in stock?,2017-11-23T12:31:54+00:00,Nah just ordered it and bow its says Tuesday but its in stock?,12
conv_434544,434544,"@218243 @AmazonHelp such response not expected from a company like Amazon. Instead of just saying sorry, better u get the issue resolved asap",2017-10-10T17:04:34+00:00,"such response not expected from a company like Amazon. Instead of just saying sorry, better u get the issue resolved asap",1
conv_2840284,2840284,"Hi @AmazonHelp @115830 can you please help with delivery problem 
Tracking ID Q40754858514",2017-11-27T16:18:16+00:00,Hi can you please help with delivery problem Tracking ID Q40754858514,3
conv_1106507,1106506,@AmazonHelp Yes coz of payment failure,2017-10-15T09:12:00+00:00,Yes coz of payment failure,10
conv_1153658,1153670,@391439 @AmazonHelp Nah did they hell! I’m surprised at that actually!,2017-10-26T23:13:49+00:00,Nah did they hell! I’m surprised at that actually!,8
conv_1254559,1254559,@amazonhelp I’m experiencing a bug with the new Amazon FireTV when playing back HDR content on an LG OLED television. Can you help?,2017-10-26T06:54:11+00:00,I’m experiencing a bug with the new Amazon FireTV when playing back HDR content on an LG OLED television. Can you help?,3
conv_2398293,2398295,"@AmazonHelp ""Arriving Thursday 16th November"" But underneath it says ""Prime OneDay delivery"" !",2017-11-14T14:46:24+00:00,"""Arriving Thursday 16th November"" But underneath it says ""Prime OneDay delivery"" !",14
conv_869844,869845,@AmazonHelp The delivery date was Tue 17 Oct + it went out for delivery that day. I am guessing it is lost as requested a refund on Fri n its still...,2017-10-21T19:23:39+00:00,The delivery date was Tue 17 Oct + it went out for delivery that day. I am guessing it is lost as requested a refund on Fri n its still...,14
conv_436423,436422,"@AmazonHelp Hi, have just forwarded it.",2017-10-10T17:27:12+00:00,"Hi, have just forwarded it.",12
conv_2102461,2102459,@AmazonHelp But they won’t do anything until after it doesn’t arrive tomorrow.,2017-10-19T04:05:15+00:00,But they won’t do anything until after it doesn’t arrive tomorrow.,10
conv_1215530,1215530,.@AmazonHelp why do I need to call in and wait on hold for 10 minutes to tell you to resend a package the carrier lost?,2017-10-25T16:57:18+00:00,. why do I need to call in and wait on hold for 10 minutes to tell you to resend a package the carrier lost?,10
conv_1280573,1280573,"A ver @AmazonHelp, no me quiero enfadar. Enviadlo ya!!! 😍 https://t.co/fNmyCpWwjw",2017-10-26T17:05:17+00:00,"A ver , no me quiero enfadar. Enviadlo ya!!! 😍",10
conv_1272924,1272924,@AmazonHelp I am receiving msgs that due to aditional address req. Packge could not be delivered.Though I am receiving other packages daily.,2017-10-16T07:01:00+00:00,I am receiving msgs that due to aditional address req. Packge could not be delivered.Though I am receiving other packages daily.,4
conv_930249,930249,@AmazonHelp I want to know what's happened to my pre order of my Iron Maiden cd. Meant to arrived Friday it's now Monday no sign of it.,2017-11-20T20:42:05+00:00,I want to know what's happened to my pre order of my Iron Maiden cd. Meant to arrived Friday it's now Monday no sign of it.,18
conv_2634099,2634098,"@AmazonHelp Thanks, but still doesn't really answer the question. Even if we calculated one-day as starting tomorrow, that would have the order here on Tuesday, one-day after the order. So how is one-day calculated?",2017-11-26T22:33:38+00:00,"Thanks, but still doesn't really answer the question. Even if we calculated one-day as starting tomorrow, that would have the order here on Tuesday, one-day after the order. So how is one-day calculated?",18
conv_2569189,2569189,@AmazonHelp Pls why i cant have a free delivery for this product for address 683544.Pls can i have a free delivery....It would be very kind,2017-10-30T15:53:32+00:00,Pls why i cant have a free delivery for this product for address 683544.Pls can i have a free delivery....It would be very kind,14
conv_133762,133736,"@AmazonHelp Der Mitarbeiter sagt, dass der Artikel zu 100% nicht mehr kommen wird. Top 😂",2017-11-23T12:51:17+00:00,"Der Mitarbeiter sagt, dass der Artikel zu 100% nicht mehr kommen wird. Top 😂",10
conv_274014,274008,@AmazonHelp Check your DM. #Amazon #Fail #Amazon #failure #ecommerce #Marketplace #disappointment #AmazonGreatIndianFestival,2017-10-06T06:37:13+00:00,Check your DM. #Amazon #Fail #Amazon #failure #ecommerce #Marketplace #disappointment #AmazonGreatIndianFestival,1
conv_2564066,2564064,"@AmazonHelp They tried to deliver the order, I was out, they didnt try my neighbours (who were all in, both sides and opposite). So I wanted to login and specify that they can leave it with a neighbour, but I got that message.",2017-11-16T18:17:08+00:00,"They tried to deliver the order, I was out, they didnt try my neighbours (who were all in, both sides and opposite). So I wanted to login and specify that they can leave it with a neighbour, but I got that message.",18
conv_1365488,1365490,@AmazonHelp Recent apps loads and I can use the device but the app screen will not load.,2017-10-27T22:02:12+00:00,Recent apps loads and I can use the device but the app screen will not load.,17
conv_2064364,2064360,@AmazonHelp I have returned sofa on 31th oct (date of return picked-up). distance of my address and seller (warehouse) is not more than 50 km,2017-11-08T09:24:05+00:00,I have returned sofa on 31th oct (date of return picked-up). distance of my address and seller (warehouse) is not more than 50 km,10
conv_2719402,2719397,@AmazonHelp I was told someone would respond yesterday and apparently they saw someone was on it,2017-11-20T08:43:55+00:00,I was told someone would respond yesterday and apparently they saw someone was on it,10
conv_2255213,2255212,@AmazonHelp @656871 We haven't managed to find any items which can be shipped tomorrow or same day. Any idea why?,2017-11-10T23:14:52+00:00,We haven't managed to find any items which can be shipped tomorrow or same day. Any idea why?,10
conv_2669984,2669961,"@AmazonHelp Bien sûr, mais à part être désolé rien n’a changé.",2017-11-19T11:40:28+00:00,"Bien sûr, mais à part être désolé rien n’a changé.",10
conv_766928,766928,@AmazonHelp my copy of WWE 2K18 Deluxe Edition (PS4) says dispatching today (11th) but still hasn't dispatched,2017-10-11T22:28:38+00:00,my copy of WWE 2K18 Deluxe Edition (PS4) says dispatching today (11th) but still hasn't dispatched,10
conv_1421942,1421921,"@AmazonHelp I've spoken to DPD already, the parcel number they gave me is showing up as someone completely different on their system.",2017-11-02T09:11:53+00:00,"I've spoken to DPD already, the parcel number they gave me is showing up as someone completely different on their system.",10
conv_1104415,1104415,@AmazonHelp your sms system has gone insane today? https://t.co/roTVV9cpba,2017-10-15T07:58:46+00:00,your sms system has gone insane today?,10
conv_2883293,2883289,@AmazonHelp I went to the postcode but there's nothing there - just wondered whether you were able to tell me which shop it's next to in Eldon Square please?,2017-11-28T10:46:47+00:00,I went to the postcode but there's nothing there - just wondered whether you were able to tell me which shop it's next to in Eldon Square please?,12
conv_1448023,1448023,@AmazonHelp how to transfer money from one account to other  account will u please say me. 😞😞,2017-11-02T16:23:39+00:00,how to transfer money from one account to other account will u please say me. 😞😞,6
conv_588733,588729,@AmazonHelp And iv got to pay return postage?? Ur having a laugh right???,2017-12-03T16:04:12+00:00,And iv got to pay return postage?? Ur having a laugh right???,10
conv_1887420,1887420,@562919 Non ci credo??? Maronna @AmazonHelp che qualità pessima ultimamente.,2017-10-18T11:25:54+00:00,Non ci credo??? Maronna che qualità pessima ultimamente.,10
conv_395394,395303,@AmazonHelp @115830 @115851 381st day requesting any kind of respons,2017-09-06T18:12:24+00:00,381st day requesting any kind of respons,13
conv_2102461,2102456,@AmazonHelp The appropriate way to handle an issue like this is for Amazon to contact the customer ASAP and let them know the item is out of stock.,2017-10-19T04:09:32+00:00,The appropriate way to handle an issue like this is for Amazon to contact the customer ASAP and let them know the item is out of stock.,1
conv_1071136,1071136,"@AmazonHelp Apparently I’ve had all my delivery attempts, but no driver has been to the house for the 3 days someone has sat in waiting!!! https://t.co/9a7FkXKxVV",2017-10-23T15:22:43+00:00,"Apparently I’ve had all my delivery attempts, but no driver has been to the house for the 3 days someone has sat in waiting!!!",14
conv_697955,697957,@AmazonHelp I think the carrier is just Amazon?,2017-10-10T19:38:34+00:00,I think the carrier is just Amazon?,1
conv_1409119,2159346,@AmazonHelp Directed to the mail page successfully . (1/2),2017-11-12T15:05:07+00:00,Directed to the mail page successfully . (1/2),10
conv_1265106,1265109,@AmazonHelp Maia quel politique commercial ont ils voulus adopte en le vendant 200€ en plus 😅😂,2017-10-26T12:47:58+00:00,Maia quel politique commercial ont ils voulus adopte en le vendant 200€ en plus 😅😂,19
conv_348529,348521,@AmazonHelp I don't want people to be misguided by my finger slip.,2017-10-08T07:20:21+00:00,I don't want people to be misguided by my finger slip.,12
conv_86126,86125,"@AmazonHelp The UPS tracking says tomorrow. That is from the UPS website. Your representatives ASSURED me, in writing, that it would come today. I don't understand how they can get away with that. This experience has been awful.",2017-11-30T15:01:55+00:00,"The UPS tracking says tomorrow. That is from the UPS website. Your representatives ASSURED me, in writing, that it would come today. I don't understand how they can get away with that. This experience has been awful.",10
conv_778186,778185,@AmazonHelp Thank you!!!,2017-10-12T04:30:16+00:00,Thank you!!!,15
conv_2511734,2511734,"@AmazonHelp how do I cancel my subscription for amazon music?

I can’t seem to do it.. https://t.co/eiV8hrZ3gf",2017-11-15T22:53:54+00:00,how do I cancel my subscription for amazon music? I can’t seem to do it..,1
conv_2254403,2254401,@AmazonHelp Merci de ne pas comprendre le problème. Quel fournisseur recommandez-vous? J’en ai trouvé des pareil sur amazon.ca pour 2$ de plus... DM svp,2017-11-10T23:59:05+00:00,Merci de ne pas comprendre le problème. Quel fournisseur recommandez-vous? J’en ai trouvé des pareil sur amazon.ca pour 2$ de plus... DM svp,19
conv_1664812,1664812,"@AmazonHelp hi, could I ask why the status of my parcel would change from “arriving today” to “sorry your parcel is late”? 😩",2017-11-06T10:25:07+00:00,"hi, could I ask why the status of my parcel would change from “arriving today” to “sorry your parcel is late”? 😩",10
conv_2412627,2412625,@AmazonHelp They keep my money of new prime . Fraude Company Amazon.,2017-11-14T17:06:35+00:00,They keep my money of new prime . Fraude Company Amazon.,9
conv_2062378,2062377,@AmazonHelp 2 working days form date of purchase on Oct 19 is not Oct 26.,2017-10-29T04:36:26+00:00,2 working days form date of purchase on Oct 19 is not Oct 26.,10
conv_2668729,2668723,@AmazonHelp I can’t as my account has been hack,2017-11-19T10:38:15+00:00,I can’t as my account has been hack,6
conv_814406,814404,@AmazonHelp Already filled the form..! Pl contact as soon as possible,2017-10-20T16:41:57+00:00,Already filled the form..! Pl contact as soon as possible,10
conv_140994,140998,@AmazonHelp I should also mention the urgency of why we need the bracket! My nearly 2 year old is an expert at breaking everything! He’s already broken one almost new tv by pulling it over and the bracket it to stick the new tv to the wall so well it won’t happen again lol,2017-11-24T12:47:24+00:00,I should also mention the urgency of why we need the bracket! My nearly 2 year old is an expert at breaking everything! He’s already broken one almost new tv by pulling it over and the bracket it to stick the new tv to the wall so well it won’t happen again lol,10
conv_479311,479311,"Dear @AmazonHelp @115850 ,
I haven't ordered any thing to any one but why these mails to my account and actually I don't have any of your app in my Mobile.
This is not only one but I have got 4 - 5 frequent mails of the orders.
Kindly look into this asap
Ty https://t.co/6oNyfFwg4Z",2017-12-01T12:59:12+00:00,"Dear , I haven't ordered any thing to any one but why these mails to my account and actually I don't have any of your app in my Mobile. This is not only one but I have got 4 - 5 frequent mails of the orders. Kindly look into this asap Ty",17
conv_1718059,1718058,@AmazonHelp When I placed the order on October 13th it showed ship date of 10/13 and still waiting for tracking number.,2017-10-17T19:09:03+00:00,When I placed the order on October 13th it showed ship date of 10/13 and still waiting for tracking number.,18
conv_504936,504942,@AmazonHelp I did. I just want my son's bear which is really hard to find.,2017-12-01T21:30:20+00:00,I did. I just want my son's bear which is really hard to find.,12
conv_363359,363363,@AmazonHelp No. Works fine accessing website via safari on iPhone.,2017-10-08T21:16:43+00:00,No. Works fine accessing website via safari on iPhone.,10
conv_2593120,2593119,@AmazonHelp I have not been approved yet and I wanted to see if there was anyone I could speak with to expedite the process,2017-11-17T02:43:24+00:00,I have not been approved yet and I wanted to see if there was anyone I could speak with to expedite the process,10
conv_1371434,1371436,@AmazonHelp @439226 Im awaiting a reply on DM 3 days.  Can you look into this for me? Thank you,2017-11-07T07:21:11+00:00,Im awaiting a reply on DM 3 days. Can you look into this for me? Thank you,15
conv_133709,138102,@147109 @AmazonHelp Which section is the A-Z thing under?,2017-11-24T10:37:24+00:00,Which section is the A-Z thing under?,10
conv_835815,835815,"@AmazonHelp i did shopping of 3817 between 4 to 8 october, but i have not received cashback for all orders, why you people fooling customers",2017-10-13T08:27:53+00:00,"i did shopping of 3817 between 4 to 8 october, but i have not received cashback for all orders, why you people fooling customers",8
conv_132430,132427,"@AmazonHelp That's a .com chat link, I'm a .co.uk customer. Also, I was trying to avoid being in a live chat!",2017-11-24T08:25:16+00:00,"That's a .com chat link, I'm a .co.uk customer. Also, I was trying to avoid being in a live chat!",10
conv_1541025,1541025,@AmazonHelp Your own delivery service dumped the packages for our apartment complex near the street in the middle of the day. #NotMyJob https://t.co/DDiGTgG7ro,2017-11-03T21:57:54+00:00,Your own delivery service dumped the packages for our apartment complex near the street in the middle of the day. #NotMyJob,14
conv_888334,2971880,@AmazonHelp I am saying the same ..no one listening my problem and everyone is sending the same template again and again...reason being here in social media because of it...i want you take action or whatever it is and get it resolved...if not tell me i ll post emails here..,2017-11-30T02:31:18+00:00,I am saying the same ..no one listening my problem and everyone is sending the same template again and again...reason being here in social media because of it...i want you take action or whatever it is and get it resolved...if not tell me i ll post emails here..,12
conv_909469,909481,"@AmazonHelp Your guys called me again to say it would be fixed this morning. Guess what, it's already afternoon .",2017-10-22T06:21:43+00:00,"Your guys called me again to say it would be fixed this morning. Guess what, it's already afternoon .",10
conv_1220958,1220958,On a live chat with @AmazonHelp. Going to start hitting stuff any moment now.,2017-10-25T15:13:32+00:00,On a live chat with . Going to start hitting stuff any moment now.,10
conv_2284000,2284004,@AmazonHelp I want quick sol,2017-11-11T15:21:18+00:00,I want quick sol,12
conv_1332200,1332200,"@115850 @AmazonHelp @115821 you must give incentives to these real marvels - delivery guys4 the wonderful work they do,on time every time!",2017-10-16T12:37:24+00:00,"you must give incentives to these real marvels - delivery guys4 the wonderful work they do,on time every time!",14
conv_2478832,2478828,@AmazonHelp I’ve emailed the recipt of the courier and hope for a quick response on it.,2017-11-15T14:46:26+00:00,I’ve emailed the recipt of the courier and hope for a quick response on it.,10
conv_1386467,1386466,@AmazonHelp I received the wrong item. about 10oz too large and wrong lid style as well,2017-10-31T20:57:30+00:00,I received the wrong item. about 10oz too large and wrong lid style as well,10
conv_328738,328740,"@AmazonHelp I did go through all of the steps, and everything is as it should be. I am now 40 minutes into a call with one of your customer service reps and still no closer to a resolution.",2017-11-25T14:18:04+00:00,"I did go through all of the steps, and everything is as it should be. I am now 40 minutes into a call with one of your customer service reps and still no closer to a resolution.",11
conv_1245379,1245382,@AmazonHelp For a PC game (Destiny2) - Cousin moved to AU and would like to play together but they can’t afford.,2017-10-26T01:14:26+00:00,For a PC game (Destiny2) - Cousin moved to AU and would like to play together but they can’t afford.,10
conv_2662409,2662408,"@AmazonHelp I hv quoted my order id above, what else u need? Provide me status here only. Mails, calls, everything done earlier.",2017-10-31T06:00:35+00:00,"I hv quoted my order id above, what else u need? Provide me status here only. Mails, calls, everything done earlier.",18
conv_1308257,1308256,"@AmazonHelp While I appreciate the apology, I pay a premium for amazon prime two day shipping...and I didn’t get what I paid for.",2017-10-27T05:05:10+00:00,"While I appreciate the apology, I pay a premium for amazon prime two day shipping...and I didn’t get what I paid for.",9
conv_426328,426327,@AmazonHelp Have done. I hope it's not from your BOT. Need faster response. @115850 @115821,2017-10-10T12:34:08+00:00,Have done. I hope it's not from your BOT. Need faster response.,10
conv_2342031,2342031,@AmazonHelp Because you people are expert in hide your cheating in public,2017-11-13T14:44:50+00:00,Because you people are expert in hide your cheating in public,10
conv_2420280,2420267,@AmazonHelp I don't care my number but u find out my problem and resolve it,2017-10-29T13:13:33+00:00,I don't care my number but u find out my problem and resolve it,10
conv_140898,140896,@AmazonHelp Hi it came with the order. It doesn't show up as part of the order.,2017-11-24T11:59:32+00:00,Hi it came with the order. It doesn't show up as part of the order.,18
conv_2226499,2226497,"@AmazonHelp Es debido a que mandar algo de península a Canarias es una importación: necesitan la factura en aduanas para saber si está exento de gastos (menos de 150€) o si el usuario ha de pagar gastos (más de 150€).

Espero que puedan hacer llegar esto a quien esté al cargo.",2017-11-10T10:11:53+00:00,Es debido a que mandar algo de península a Canarias es una importación: necesitan la factura en aduanas para saber si está exento de gastos (menos de 150€) o si el usuario ha de pagar gastos (más de 150€). Espero que puedan hacer llegar esto a quien esté al cargo.,7
conv_2636852,2636852,@AmazonHelp I’ve sent a DM can you please get back to me ASAP? Not a fan of being robbed!!,2017-11-17T20:33:35+00:00,I’ve sent a DM can you please get back to me ASAP? Not a fan of being robbed!!,10
conv_2855197,2855197,"@118706 @123967 @AmazonHelp This is the type of service your customers are getting from carriers. I was already given a free month of prime, but that's not what i want. I want my 2 day shipping to not be 4-5 day shipping when USPS handles it.",2017-11-27T20:52:14+00:00,"This is the type of service your customers are getting from carriers. I was already given a free month of prime, but that's not what i want. I want my 2 day shipping to not be 4-5 day shipping when USPS handles it.",5
conv_2666885,2666885,@AmazonHelp Your delivery person left my parcel on my doormat overnight  - something that could’ve easily fit through a letterbox since they couldn’t be bothered to knock on the front door. Not happy at all.,2017-11-19T09:08:19+00:00,Your delivery person left my parcel on my doormat overnight - something that could’ve easily fit through a letterbox since they couldn’t be bothered to knock on the front door. Not happy at all.,14
conv_253329,253328,@AmazonHelp Still have not received my order after your representatives promised they would be here by October 4.,2017-10-05T17:38:22+00:00,Still have not received my order after your representatives promised they would be here by October 4.,18
conv_2897532,2897538,@AmazonHelp Still no delivery which should have been here Monday by 17:00. Won't be doing any #christmasshopping with @115830 this year. Awful amazon logistics letting their customers down. #Amazon,2017-11-29T15:58:04+00:00,Still no delivery which should have been here Monday by 17:00. Won't be doing any #christmasshopping with this year. Awful amazon logistics letting their customers down. #Amazon,1
conv_2521817,2521816,"@AmazonHelp I have already emailed about it twice, and got told to return it for a refund 🤷‍♀️🤷‍♀️if it had been delivered  I wouldn't need a refund 😂",2017-11-26T20:01:49+00:00,"I have already emailed about it twice, and got told to return it for a refund 🤷‍♀️🤷‍♀️if it had been delivered I wouldn't need a refund 😂",12
conv_280388,280385,@AmazonHelp Yes will take that effort one last time,2017-10-06T13:41:50+00:00,Yes will take that effort one last time,10
conv_511714,511714,@AmazonHelp Is it possible for you to DM me so I can ask you a question concerning an email I got?,2017-12-01T22:56:40+00:00,Is it possible for you to DM me so I can ask you a question concerning an email I got?,16
conv_2722192,2722198,"@AmazonHelp Ok.
Dann Mal gucken was das Team antwortet :)",2017-11-26T23:44:07+00:00,Ok. Dann Mal gucken was das Team antwortet :),10
conv_177356,177356,@amazonhelp I’m so confused I’m trying to put digital copies of movies onto my daughters tablet and I cannot figure this out,2017-11-25T00:54:15+00:00,I’m so confused I’m trying to put digital copies of movies onto my daughters tablet and I cannot figure this out,10
conv_441931,441917,@AmazonHelp Lol u all r getting back to me since yesterday @AmazonHelp @115850 @115821 #Amazon #pathetic,2017-10-11T10:51:39+00:00,Lol u all r getting back to me since yesterday #Amazon #pathetic,1
conv_331572,331564,"@AmazonHelp I suppose by email: ""Please respond to this message at your earliest convenience and provide us with..."". Guess it is respond by email",2017-10-07T18:54:16+00:00,"I suppose by email: ""Please respond to this message at your earliest convenience and provide us with..."". Guess it is respond by email",16
conv_627825,627824,@AmazonHelp I don’t understand.,2017-11-22T15:44:19+00:00,I don’t understand.,10
conv_786780,786780,@AmazonHelp HELP! I was logged onto my mums Amazon account without realising &amp; bought a #kindle book when I mean to purchase it on mine!,2017-10-12T09:39:43+00:00,HELP! I was logged onto my mums Amazon account without realising &amp; bought a #kindle book when I mean to purchase it on mine!,6
conv_990941,990937,@AmazonHelp @117634 I LOVE that the kindle is helping me relearn Irish (And start Spanish),2017-10-22T13:21:32+00:00,I LOVE that the kindle is helping me relearn Irish (And start Spanish),10
conv_2686578,2686578,@AmazonHelp hi thanks for leaving me a card saying my parcel’s been left at no 52. That’s where I live..,2017-11-19T11:50:55+00:00,hi thanks for leaving me a card saying my parcel’s been left at no 52. That’s where I live..,2
conv_2940186,2940190,@AmazonHelp J'ai passé commande sur amazon.de et bien sur je ne parle pas allemand xD.,2017-11-29T13:55:06+00:00,J'ai passé commande sur amazon.de et bien sur je ne parle pas allemand xD.,19
conv_2384563,2384565,@AmazonHelp 19th - your courier put it as failed delivery at 1245 but was to a business open 0800 1730,2017-10-20T09:20:59+00:00,19th - your courier put it as failed delivery at 1245 but was to a business open 0800 1730,14
conv_1672901,1672901,I called ur #HelpDesk @AmazonHelp but was in mid sentence explaining my problem till I was disconnected! #Firestick #NotWorkingNow #HelpMe https://t.co/BVkA9hwRZ9,2017-10-17T15:41:13+00:00,I called ur #HelpDesk but was in mid sentence explaining my problem till I was disconnected! #Firestick #NotWorkingNow #HelpMe,10
conv_745284,745284,@AmazonHelp this is the second time your delivery service failed to deliver my item despite multiple cs chats about when my office closes,2017-10-07T00:04:58+00:00,this is the second time your delivery service failed to deliver my item despite multiple cs chats about when my office closes,14
conv_2293384,2293384,".@115851 @115821 @AmazonHelp PLEASE stop using @118706 for shipping. They CONSTANTLY miss delivery deadlines, and don't even try to deliver the packages on weekends when it's ""guaranteed."" I don't pay for Prime to have @118706 mess it up every.single.time.",2017-11-11T22:44:09+00:00,". PLEASE stop using for shipping. They CONSTANTLY miss delivery deadlines, and don't even try to deliver the packages on weekends when it's ""guaranteed."" I don't pay for Prime to have mess it up every.single.time.",5
conv_1598979,1598979,@AmazonHelp Is there a way to tell your german colleagues to not use @122924 anymore? They are not able to find my address...,2017-10-17T09:01:37+00:00,Is there a way to tell your german colleagues to not use anymore? They are not able to find my address...,10
conv_2704943,2704943,@AmazonHelp Hi. Every 30 minutes into watching the WWE Network it just randomly closes itself off on my Fire TV box?,2017-11-19T22:24:30+00:00,Hi. Every 30 minutes into watching the WWE Network it just randomly closes itself off on my Fire TV box?,12
conv_917954,917961,@AmazonHelp I need to use my password and email to get to that link...,2017-11-25T18:06:00+00:00,I need to use my password and email to get to that link...,16
conv_2132877,2132877,@AmazonHelp amazon seller make me fool send me different item but amazon can’t take any action i really dissapoint with amazon please help me order id #404-2077168-8785924,2017-11-08T19:56:16+00:00,amazon seller make me fool send me different item but amazon can’t take any action i really dissapoint with amazon please help me order id #404-2077168-8785924,1
conv_873792,873792,@AmazonHelp @116090 Recieved Medium DuraSkin gloves &amp; they have yellow substance spilled on them. Ew. Might want to recall &amp; (1/2),2017-10-20T20:41:15+00:00,Recieved Medium DuraSkin gloves &amp; they have yellow substance spilled on them. Ew. Might want to recall &amp; (1/2),12
conv_2946790,2946790,Euh hey @115830 @AmazonHelp what is this? Is my parcel having a tour of Europe or is the deliveryman having a seizure? https://t.co/z5QpSiad4g,2017-11-29T15:54:16+00:00,Euh hey what is this? Is my parcel having a tour of Europe or is the deliveryman having a seizure?,10
conv_173449,173448,@AmazonHelp How can I remove ads on the ‘lock screen’? If I tap on any of them nothing loads so it’s pointless me having them on there 😐,2017-11-25T11:30:36+00:00,How can I remove ads on the ‘lock screen’? If I tap on any of them nothing loads so it’s pointless me having them on there 😐,10
conv_1738955,1738955,"Oh @AmazonHelp says my package was delivered to a neighbour. Doesn’t say which neighbour, there’s no card through door. 40 houses in street!",2017-11-07T16:32:53+00:00,"Oh says my package was delivered to a neighbour. Doesn’t say which neighbour, there’s no card through door. 40 houses in street!",4
conv_1493735,1494235,@AmazonHelp 2) Apparently @115821 provides excellent Customer Experience by not being able to even provide the correct number of the delivery agent,2017-11-03T10:53:54+00:00,2) Apparently provides excellent Customer Experience by not being able to even provide the correct number of the delivery agent,14
conv_2113690,2113690,"12 days, no help from @115821 @AmazonHelp @115850, still not able to login,  hv 1750 rs in #AmazonPay https://t.co/RsYkptbUhx",2017-11-08T13:36:15+00:00,"12 days, no help from , still not able to login, hv 1750 rs in #AmazonPay",3
conv_870151,870151,@AmazonHelp ur customer service is pathetic. WILL SOMEONE CARE? my registered email address is __email__,2017-10-13T15:07:39+00:00,ur customer service is pathetic. WILL SOMEONE CARE? my registered email address is __email__,11
conv_1238761,1238760,"@AmazonHelp Ok, but EVERYTHING that’s available with Prime is coming up as Monday/Tuesday being the earliest delivery date, not just “some items”. I pay for Prime because I want next day delivery, yet it’s not available, which renders Prime pointless to me.",2017-11-25T20:02:47+00:00,"Ok, but EVERYTHING that’s available with Prime is coming up as Monday/Tuesday being the earliest delivery date, not just “some items”. I pay for Prime because I want next day delivery, yet it’s not available, which renders Prime pointless to me.",5
