conversation_id,cluster_id,message_count,predicted_intent,prediction_method,first_customer_message,transcript,corrected_intent,entities,resolution,notes,annotator_id
conv_1737589,8,2,billing_payment,keyword,@AmazonHelp we have a mail no reply for Amazon.in,"[2017-11-07T09:58:33] CUSTOMER: @AmazonHelp we have a mail no reply for Amazon.in
[2017-11-07T10:11:27] SUPPORT: @520846 You must have received an email from our account speciality team here: https://t.co/VzfDYEQkbu Kindly check. ^SY",billing_payment,,unclear,,
conv_601321,12,11,billing_payment,keyword,@AmazonHelp at  it again I hate calling your call centres RUDE AND DONT LISTEN when I am paying for a service I don't expect the phone to be put down on me when it's a problem at your end not mine,"[2017-12-03T21:18:13] CUSTOMER: @AmazonHelp at  it again I hate calling your call centres RUDE AND DONT LISTEN when I am paying for a service I don't expect the phone to be put down on me when it's a problem at your end not mine
[2017-12-03T21:25:00] SUPPORT: @262653 I'm so sorry to hear this! Without giving personal details, please let us know more about what happened. We'd like to help, if possible. ^BH
[2017-12-03T21:34:14] CUSTOMER: @AmazonHelp Changed bank details online prime video stopped",billing_payment,{'product': 'Prime'},unclear,,
conv_879189,14,8,delivery_issue,cluster_hint,"Guess what? Did @AmazonHelp send WWE 2K18 Deluxe today, like they said they would? Of course not, just like every other preorder this year 💩","[2017-10-13T16:28:26] CUSTOMER: Guess what? Did @AmazonHelp send WWE 2K18 Deluxe today, like they said they would? Of course not, just like every other preorder this year 💩
[2017-10-13T16:40:28] SUPPORT: @328724 Sorry to hear of the trouble! Has the tracking been updated today? You can check here: https://t.co/aaDyEz1VgE ^BL
[2017-10-13T16:59:17] CUSTOMER: @AmazonHelp .Just now Amazon has changed it to delivery tomorrow. This game cost extra money to buy the Deluxe and get it 4 days early (cont.",delivery_issue,,unclear,,
conv_1179718,7,5,non_english,keyword,@AmazonHelp o rastreamento diz que o pedido está em João Pessoa e o endereço de entrega é de Campina Grande.,"[2017-10-24T21:45:06] CUSTOMER: @AmazonHelp o rastreamento diz que o pedido está em João Pessoa e o endereço de entrega é de Campina Grande.
[2017-10-24T21:45:33] CUSTOMER: @AmazonHelp Como é possível qua primeira tentativa de  entrega tenha sido feita?
[2017-10-24T21:48:01] SUPPORT: @397444 Lamento pelo inconveniente. Me diga, o pacote foi enviado pela Amazon ou por um vendedor externo? ^CR
[2017-10-24T21:55:15] CUSTOMER: @AmazonHelp Pela Amazon.
[2017-10-24T22:14:33] SUPPORT: @397444 Obrigado!",non_english,{'product': 'Prime'},unclear,,
conv_436913,0,8,billing_payment,keyword,@115821 @AmazonHelp please see my above tweet,"[2017-10-10T17:10:31] CUSTOMER: @115821 @AmazonHelp please see my above tweet
[2017-10-10T17:16:32] SUPPORT: @143655 I'm sorry we didn't get your package delivered to you, Kari! Can you tell me the status &amp; carrier listed?https://t.co/Y5jpI9gRhE ^FR
[2017-10-10T17:19:47] CUSTOMER: @AmazonHelp This is what it says. But now those strainers that I paid $9.99 for r $7.47. Since I don’t yet have the item can I get back the difference? https://t.co/GyIXx4kUK3
[2017-10-10T17:20:46] CUSTOMER: @Amazo",billing_payment,,unclear,,
conv_379006,0,16,delivery_issue,cluster_hint,@115850 @117795 @AmazonHelp  pls update me with my order status.,"[2017-10-09T05:21:07] CUSTOMER: @115850 @117795 @AmazonHelp  pls update me with my order status.
[2017-10-09T06:02:32] SUPPORT: @167356 Could you please confirm if you've shared your details requested earlier? ^PS
[2017-10-09T13:09:01] CUSTOMER: @AmazonHelp It's 2 pieces Fastrack wrist band. Very poor service by @AmazonHelp
[2017-10-09T13:36:00] SUPPORT: @167356 Certainly not what we intended, Mihir. I hope you've filled in the details in the link provided earlier. ^JC
[2017-10-09T13:37:38] CUST",delivery_issue,,unclear,,
conv_2890510,19,6,non_english,keyword,"@AmazonHelp Bonjour, vendredi j’ai commandé une imprimante 3D, le filament est parti mais toujours pas l’imprimante, y a un problème au niveau de la préparation de la commande ? Je vais la recevoir à ","[2017-11-28T14:20:33] CUSTOMER: @AmazonHelp Bonjour, vendredi j’ai commandé une imprimante 3D, le filament est parti mais toujours pas l’imprimante, y a un problème au niveau de la préparation de la commande ? Je vais la recevoir à temps ? https://t.co/d4XwIZZJ3G
[2017-11-28T14:33:27] SUPPORT: @801364 Bonjour, je suis désolée par rapport à ce retard!
Je vous recommande de vérifier cela avec notre SAV via le lien suivant: https://t.co/hgIrz98cdI ^FT
[2017-11-28T14:46:45] CUSTOMER: @AmazonHelp Mer",non_english,{'product': 'Prime'},unclear,,
conv_390812,9,2,billing_payment,keyword,Grade wieder Amazon Prime gekauft hab es einfach vermisst @AmazonHelp xD,"[2017-10-09T15:07:52] CUSTOMER: Grade wieder Amazon Prime gekauft hab es einfach vermisst @AmazonHelp xD
[2017-10-09T15:47:00] SUPPORT: @208526 Schön zu lesen. Viel Spaß beim Nutzen der Prime Vorteile! 😊 ^VM",billing_payment,{'product': 'Prime'},unclear,,
conv_1271605,4,7,delivery_issue,keyword,Living in a new build house + @AmazonHelp = a circle of delivery hell. 🙄,"[2017-11-25T20:07:47] CUSTOMER: Living in a new build house + @AmazonHelp = a circle of delivery hell. 🙄
[2017-11-25T20:14:00] SUPPORT: @417697 I'm sorry for any trouble you've experienced. Is there a recent parcel you're experiencing trouble with: https://t.co/aaDyEz1VgE? ^ST
[2017-11-25T20:17:59] CUSTOMER: @AmazonHelp The latest one is my partner’s. He’s just come off the phone to you. Apparently the driver couldn’t get to our front door that is visible from the main road. We’ve had 2 parcels ",delivery_issue,,unclear,,
conv_606204,10,2,billing_payment,keyword,@AmazonHelp have sent DM,"[2017-11-22T11:03:05] CUSTOMER: @AmazonHelp have sent DM
[2017-11-22T11:09:55] SUPPORT: @264066 Hey, thanks for letting me know! We'll get back to you as soon as possible. ^TI",billing_payment,,unclear,,
conv_1735428,4,19,billing_payment,keyword,"@AmazonHelp @115850 @115821 
ORDER # 405-1080041-4915538
What shitty Job guys, pathetic https://t.co/tK988ynEBW","[2017-10-17T19:26:14] CUSTOMER: @AmazonHelp @115850 @115821 
ORDER # 405-1080041-4915538
What shitty Job guys, pathetic https://t.co/tK988ynEBW
[2017-10-17T19:42:29] SUPPORT: @524014 I'm sorry the order is returning. I understand how upsetting it can be. I have shared your feedback with the concerned team. ^HA
[2017-10-17T19:43:00] SUPPORT: @524014 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^HA
[2017-10-17T19:44:37] CUSTOM",billing_payment,{'order_id': '405-1080041-4915538'},unclear,,
conv_2628796,18,10,delivery_issue,keyword,@AmazonHelp Third order placed for an item. Says it should be here tonight but hasn't shipped yet.,"[2017-11-17T16:55:49] CUSTOMER: @AmazonHelp Third order placed for an item. Says it should be here tonight but hasn't shipped yet.
[2017-11-17T17:14:25] CUSTOMER: @AmazonHelp And now finally changed the date until Tuesday. Three weeks is not acceptable for a book that should have been here in 2 days!!
[2017-11-17T17:36:00] SUPPORT: @742451 I'm sorry for the long delay! Have you been given a reason for the delivery date change? ^AL
[2017-11-17T17:41:32] SUPPORT: @742451 Thanks for reaching out to",delivery_issue,{'product': 'Prime'},unclear,,
conv_1434072,1,8,non_english,cluster_hint,"@AmazonHelp I reloaded $25, where is my $5 for reloading with Amazon Cash?","[2017-11-02T22:15:52] CUSTOMER: @AmazonHelp I reloaded $25, where is my $5 for reloading with Amazon Cash?
[2017-11-02T22:24:01] SUPPORT: @251780 The $5 is in the form of a promo credit which will show in checkout when purchasing an item shipped and sold by Amazon. ^TR
[2017-11-02T22:24:47] CUSTOMER: @AmazonHelp It is, but it is not showing up...
[2017-11-02T22:55:00] SUPPORT: @251780 The $5 will show when ordering an item sold and shipped by Amazon. Are you able to see it in checkout? ^JP
[2017",non_english,,unclear,,
conv_729359,3,2,account_access,keyword,"Hey @115821 you login verification codes are not getting sent... ""Resend code"" does not help... @AmazonHelp can you help?","[2017-10-11T09:05:46] CUSTOMER: Hey @115821 you login verification codes are not getting sent... ""Resend code"" does not help... @AmazonHelp can you help?
[2017-10-11T09:12:00] SUPPORT: @222798 Hi Peter. Please get in touch with us here: https://t.co/zYVX1Qi29G and we'll look into this for you. ^RL",account_access,,unclear,,
conv_2184799,17,2,non_english,keyword,@115825 @AmazonHelp warum Kann man #MrRobot #staffel3 noch nicht in der App auf ps4 oder tv sehen ? #schade,"[2017-11-09T17:07:32] CUSTOMER: @115825 @AmazonHelp warum Kann man #MrRobot #staffel3 noch nicht in der App auf ps4 oder tv sehen ? #schade
[2017-11-09T17:42:39] SUPPORT: @314347 Hi, schau mal hier: https://t.co/FW1elnpVnA Du kannst den Titel auch auf die Watchlist setzen und diese dann über die jeweilige App aufrufen. :) Gruß ^MI",non_english,,unclear,,
conv_126827,1,2,general_inquiry,keyword,@AmazonHelp There really is NO help for Amazon customers. This is a pacifier until Monday. I made a big mistake ordering from Amazon not knowing they aren't accountable for their mistakes. If they can,"[2017-11-24T03:17:33] CUSTOMER: @AmazonHelp There really is NO help for Amazon customers. This is a pacifier until Monday. I made a big mistake ordering from Amazon not knowing they aren't accountable for their mistakes. If they cancel your order they choose the item you get and the item they cancel. UNREAL??
[2017-11-24T03:25:31] SUPPORT: @144469 Thanks for reaching out to us today. Did we drop the ball on one of your recent orders? Without providing any personal details, can you give us a bit ",general_inquiry,,unclear,,
conv_2171444,10,2,billing_payment,keyword,@AmazonHelp hi i ordered star wars battlefront 2 for xbox 1 but when i put it in the console to install it wont read the disc but all others work well,"[2017-11-17T21:12:31] CUSTOMER: @AmazonHelp hi i ordered star wars battlefront 2 for xbox 1 but when i put it in the console to install it wont read the disc but all others work well
[2017-11-17T21:17:26] SUPPORT: @636880 I'm so sorry about this. Have you had a chance to look into return / replacement options here: https://t.co/Me9Q4UCxmV? ^GR",billing_payment,,unclear,,
conv_1474030,18,18,delivery_issue,keyword,"@AmazonHelp The new South Park game is supposed to arrive tomorrow, yet hasn't been dispatched yet, any idea why?","[2017-10-16T20:40:02] CUSTOMER: @AmazonHelp The new South Park game is supposed to arrive tomorrow, yet hasn't been dispatched yet, any idea why?
[2017-10-16T20:51:28] SUPPORT: @462186 We can't see orders with Twitter! What is the delivery date based on the order confirmation e-mail? ^DD
[2017-10-16T21:16:40] CUSTOMER: @AmazonHelp 17th of oct. You usually dispatch the day before release, which would be today. But it has yet to be dispatched.
[2017-10-16T21:40:27] SUPPORT: @462186 Hi Christopher,",delivery_issue,,unclear,,
conv_1270200,3,6,billing_payment,keyword,"@AmazonHelp my 10 month old was playing with my firestick controller &amp; managed to order a film despite it having old card details, help! https://t.co/espkKBvOW3","[2017-10-26T14:07:17] CUSTOMER: @AmazonHelp my 10 month old was playing with my firestick controller &amp; managed to order a film despite it having old card details, help! https://t.co/espkKBvOW3
[2017-10-26T14:17:44] SUPPORT: @269384 Oh my! We're here to help, Wayne! Just to clarify, have you been able to cancel the order? https://t.co/1DqTQw1cg7. ^AL.
[2017-10-26T14:22:38] CUSTOMER: @AmazonHelp It started streaming though for about 2 or 3 minutes.
[2017-10-26T14:25:01] SUPPORT: @269384 We'd l",billing_payment,,unclear,,
conv_1761014,10,8,billing_payment,keyword,@115821 @AmazonHelp Ya know if yall werent so lazy i could have gotten it today.  Its been “Preparing for Shipment” since Sunday. https://t.co/4xTNlIaKqy,"[2017-10-17T21:54:38] CUSTOMER: @115821 @AmazonHelp Ya know if yall werent so lazy i could have gotten it today.  Its been “Preparing for Shipment” since Sunday. https://t.co/4xTNlIaKqy
[2017-10-17T21:59:01] SUPPORT: @290388 I'm sorry! Have we missed the intended delivery date stated in your order confirmation e-mail? ^AC
[2017-10-17T21:59:17] CUSTOMER: @AmazonHelp yep
[2017-10-17T22:01:39] SUPPORT: @290388 Is today the delivery date listed on your order confirmation e-mail? ^AN
[2017-10-17T22:0",billing_payment,,unclear,,
conv_2696096,8,12,general_inquiry,keyword,"@AmazonHelp @115828 Spent an hour on chat getting redirected about my games 20% discount, no one knew the policy,","[2017-10-31T18:10:49] CUSTOMER: @AmazonHelp @115828 Spent an hour on chat getting redirected about my games 20% discount, no one knew the policy,
[2017-10-31T18:13:00] SUPPORT: @757623 So sorry for the frustration! What were we able to advise when you called in? Please let us know! ^KJ
[2017-10-31T18:14:30] CUSTOMER: @AmazonHelp All i want is my 20% prime games discount on the 4 amiibo I preordered but no one seemed to know the policy.
[2017-10-31T18:25:31] SUPPORT: @757623 I understand. Did you",general_inquiry,{'product': 'Prime'},unclear,,
conv_2492256,5,5,delivery_issue,keyword,"@115821 @AmazonHelp Sad to say, after 7 years as a Prime member, I am done with Amazon. Weeks of late shipments and bad customer service and now I am no longer a Prime member. Saying ""Get it tomorrow""","[2017-11-15T17:14:14] CUSTOMER: @115821 @AmazonHelp Sad to say, after 7 years as a Prime member, I am done with Amazon. Weeks of late shipments and bad customer service and now I am no longer a Prime member. Saying ""Get it tomorrow"" and then delivering it 6 days later (more then once) is unacceptable.
[2017-11-15T17:48:30] SUPPORT: @711510 This is definitely not the experience we want you to have! Have you reached out to us by phone or chat so that we could take a look into those late shipments ",delivery_issue,{'product': 'Prime'},unclear,,
conv_361382,8,9,billing_payment,keyword,@AmazonHelp when is prime not prime? When you receive something 48hrs later.. #badservice #sorryisntenough #prime #unhappycustomer,"[2017-10-08T17:10:40] CUSTOMER: @AmazonHelp when is prime not prime? When you receive something 48hrs later.. #badservice #sorryisntenough #prime #unhappycustomer
[2017-10-08T17:34:30] SUPPORT: @201577 I'm sorry your parcel didn't arrive as expected! Did we miss the delivery date given upon confirmation: https://t.co/aaDyEz1VgE? ^PF
[2017-10-08T18:13:45] CUSTOMER: @AmazonHelp sure did! Didn’t deliver next day, took me to phone to chase. 15 mins on the phone  - why bother with prime? And only a s",billing_payment,{'product': 'Prime'},unclear,,
conv_2692743,9,2,prime_subscription,keyword,"@AmazonHelp Hi, why #Newton  movie don't have download option? Am using Amazon prime on my mobile.. Am able to download other movies.","[2017-11-19T16:56:57] CUSTOMER: @AmazonHelp Hi, why #Newton  movie don't have download option? Am using Amazon prime on my mobile.. Am able to download other movies.
[2017-11-19T17:14:40] SUPPORT: @124172 Amazon Prime does not have the download option for all the movies, and this is one among them. However, I'll ensure to pass your interest to the concerned team internally and get this reviewed. ^PR",prime_subscription,{'product': 'Prime'},unclear,,
conv_2625974,10,4,delivery_issue,keyword,@AmazonHelp Is there a place on the website to report a missing package? I’d rather avoid the hassle of contacting customer support.,"[2017-10-30T23:46:58] CUSTOMER: @AmazonHelp Is there a place on the website to report a missing package? I’d rather avoid the hassle of contacting customer support.
[2017-10-30T23:51:29] SUPPORT: @403035 I'm sorry you haven't received your order yet. Here's a Help page with regard to the situation: https://t.co/XFYJ8ahOJH ^GM
[2017-10-31T00:29:27] CUSTOMER: @AmazonHelp Yeah, I was just showing someone how unhelpful that page and video were.
[2017-10-31T00:30:12] CUSTOMER: @AmazonHelp Is there a ",delivery_issue,,unclear,,
conv_2607035,14,7,delivery_issue,keyword,"@115821 @AmazonHelp I don’t understand why you guys have such incompetent delivery people my development is two years old and I keep getting packages returned, what is the point of free shipping if pa","[2017-10-30T21:12:31] CUSTOMER: @115821 @AmazonHelp I don’t understand why you guys have such incompetent delivery people my development is two years old and I keep getting packages returned, what is the point of free shipping if packages keep getting returned.
[2017-10-30T21:12:47] CUSTOMER: @115821 @AmazonHelp I just renewed my Amazon prime and it was completely pointless
[2017-10-30T21:24:26] SUPPORT: @670580 I'm so sorry for the delivery trouble! Have you had a chance to reach us for availab",delivery_issue,{'product': 'Prime'},unclear,,
conv_1350329,18,2,billing_payment,keyword,I am NOT happy. @AmazonHelp I COULD BE PLAY MARIO ODYSSEY RIGHT NOW! Where is my order!? https://t.co/3JQ7Llx8uK,"[2017-10-27T17:23:53] CUSTOMER: I am NOT happy. @AmazonHelp I COULD BE PLAY MARIO ODYSSEY RIGHT NOW! Where is my order!? https://t.co/3JQ7Llx8uK
[2017-10-27T17:48:33] SUPPORT: @434875 I'm very sorry about this delay! Please contact us by phone or chat so we can help investigate further: https://t.co/JzP7hlA23B. ^SD",billing_payment,,unclear,,
conv_2777474,15,3,technical_app,keyword,"LEFT AT FRONT DOOR. DIDN'T EVEN KNOCK ON THE BLOODY DOOR. BOOK DENTED, SPINE BROKEN. @AmazonHelp ???????","[2017-11-21T15:17:24] CUSTOMER: LEFT AT FRONT DOOR. DIDN'T EVEN KNOCK ON THE BLOODY DOOR. BOOK DENTED, SPINE BROKEN. @AmazonHelp ???????
[2017-11-21T15:38:39] SUPPORT: @775980 Hi! I apologize for the damage to your book, we never wanted you to have this experience. Here is a link that will help you figure out the best resolution available: https://t.co/Y5jpI9gRhE Let us know if you need anything else! ^DA
[2017-11-21T15:55:44] CUSTOMER: @AmazonHelp Thank you for the response. I will look into it",technical_app,,unclear,,
conv_971831,5,2,billing_payment,keyword,@AmazonHelp is it possible to pay for Prime monthly,"[2017-10-14T06:13:18] CUSTOMER: @AmazonHelp is it possible to pay for Prime monthly
[2017-10-14T06:23:00] SUPPORT: @334894 Hi Mario, it is indeed! Please check details here: https://t.co/IRFMocszk4 ^AT",billing_payment,{'product': 'Prime'},unclear,,
conv_1568727,15,6,delivery_issue,keyword,@AmazonHelp what happens now? Says nothing about whether I will be shipped another or if I can get my $ back. https://t.co/2ENsLDT0qZ,"[2017-11-04T16:34:29] CUSTOMER: @AmazonHelp what happens now? Says nothing about whether I will be shipped another or if I can get my $ back. https://t.co/2ENsLDT0qZ
[2017-11-04T16:38:00] SUPPORT: @483986 I'm sorry for the delivery trouble, Gretchen! You can view avail refund/replace options here: https://t.co/mO5TmcCP0Y ^SD
[2017-11-04T17:54:49] CUSTOMER: @AmazonHelp I can't return the item because it was not delivered to me. I am not seeing a replace option.
[2017-11-04T17:58:00] SUPPORT: @483",delivery_issue,,unclear,,
conv_227921,17,5,non_english,keyword,Unable to add product in cart. What is the use of sale if the app crashes so frequently. @119356 @115850  @AmazonHelp https://t.co/ds3F5QbgnY,"[2017-10-05T08:00:32] CUSTOMER: Unable to add product in cart. What is the use of sale if the app crashes so frequently. @119356 @115850  @AmazonHelp https://t.co/ds3F5QbgnY
[2017-10-05T08:20:33] SUPPORT: @170342 I'm sorry for the trouble. I'll pass the feedback to the concerned team and get this looked into at the earliest. ^AU
[2017-10-05T08:43:15] CUSTOMER: @119356 @115850 @AmazonHelp Well played @AmazonHelp  the prices are increased for both gold and space grey just after my tweet. https://t",non_english,,unclear,,
conv_238917,8,28,billing_payment,keyword,Hi @115850 the payment for a recent order did not go through earlier but now the money has been debited twice. Kindly help. @AmazonHelp,"[2017-09-24T06:07:06] CUSTOMER: Hi @115850 the payment for a recent order did not go through earlier but now the money has been debited twice. Kindly help. @AmazonHelp
[2017-09-24T06:22:52] SUPPORT: @147145 to your account and you should see the refund in 3-5 business days. [2/2] ^ST
[2017-09-24T07:19:29] CUSTOMER: @AmazonHelp I am not sure what has happened as the account isn't showing me the same. But the bank statement showing two debits.
[2017-09-24T08:17:00] SUPPORT: @147145 Please connect ",billing_payment,,unclear,,
conv_381413,8,7,refund_return,keyword,@115850 @AmazonHelp Gt my firestick tv 10 days bk now power adpter stop working.Wn I askd 4 rplacemnt thy suggstd buy new1 later wl refund,"[2017-10-03T17:47:37] CUSTOMER: @115850 @AmazonHelp Gt my firestick tv 10 days bk now power adpter stop working.Wn I askd 4 rplacemnt thy suggstd buy new1 later wl refund
[2017-10-03T18:26:28] SUPPORT: @206451 I'm sorry hear about the adapter. We'd like to look into this, please share your details here: https://t.co/cQVomR1pWz. ^HA
[2017-10-04T06:44:27] CUSTOMER: @AmazonHelp I shared my details....kindly update me with best option instead of buy new &amp; refund later option its long process
[20",refund_return,,unclear,,
conv_1254607,2,6,delivery_issue,keyword,Don't toy with my emotions @AmazonHelp this preorder means so much to me. Give me some good news. Most already received their delivery date. https://t.co/eQnfJmVdsy,"[2017-10-26T04:42:45] CUSTOMER: Don't toy with my emotions @AmazonHelp this preorder means so much to me. Give me some good news. Most already received their delivery date. https://t.co/eQnfJmVdsy
[2017-10-26T06:37:15] CUSTOMER: @414276 @AmazonHelp I haven’t been charged yet either
[2017-10-26T06:46:00] SUPPORT: @263088 What delivery date were you given in your confirmation email? ^KM
[2017-10-26T07:06:54] CUSTOMER: @AmazonHelp I don’t think I have even received one yet.
[2017-10-26T07:10:00] SU",delivery_issue,,unclear,,
conv_1206889,10,9,billing_payment,keyword,"Shame on you @AmazonHelp and shame on you @49465 @50545, two months and no product service","[2017-10-25T08:11:19] CUSTOMER: Shame on you @AmazonHelp and shame on you @49465 @50545, two months and no product service
[2017-10-25T08:13:37] CUSTOMER: @AmazonHelp @49465 @50545 Your service centre has taken my product for a month now, still haven't repaired or returned, what kind of a sham are you people running
[2017-10-25T08:15:55] CUSTOMER: @AmazonHelp @49465 @50545 On repeatedly calling and asking your Mumbai service centre, your representative RESHMA,says, kya hua, it's only been a two ",billing_payment,,unclear,,
conv_320337,7,6,non_english,keyword,"@AmazonHelp Tengo un pedido en curso que me dice que el transportista no localiza la dirección pero esta bien puesta, no lo entiendo","[2017-10-07T12:05:06] CUSTOMER: @AmazonHelp Tengo un pedido en curso que me dice que el transportista no localiza la dirección pero esta bien puesta, no lo entiendo
[2017-10-07T12:07:00] SUPPORT: @192332 ¿Has podido entrar en contacto con el transportista encargado de realizar la entrega para verificar la información? ^VL
[2017-10-07T12:07:47] CUSTOMER: @AmazonHelp La empresa de trasporte de mi pedido es DPD tengo que hablar con ellos en ingles?
[2017-10-07T12:12:00] SUPPORT: @192332 Puedes busc",non_english,,unclear,,
conv_2129006,19,4,non_english,keyword,"@120533 @AmazonHelp Mon colis ne se trouve pas dans ma boîte aux lettres contrairement à ce qui est précisé. Je ne sais pas où il est !
Que faire pour obtenir un remboursement ou se faire renvoyer les","[2017-11-08T19:09:32] CUSTOMER: @120533 @AmazonHelp Mon colis ne se trouve pas dans ma boîte aux lettres contrairement à ce qui est précisé. Je ne sais pas où il est !
Que faire pour obtenir un remboursement ou se faire renvoyer les articles ? https://t.co/NubTNXfNkA
[2017-11-08T19:19:00] SUPPORT: @284674 Désolée pour cela, n'ayant pas accès à votre compte depuis Twitter, merci de le signaler à notre SAV via : https://t.co/hgIrz98cdI
[2017-11-08T19:24:04] CUSTOMER: @AmazonHelp Merci pour votre l",non_english,,unclear,,
conv_1301223,5,3,prime_subscription,keyword,"@AmazonHelp I forgot to cancel before my free trial ended. It says ""Prime Membership has been suspended"" but it won't let me End Membership.","[2017-10-27T00:08:13] CUSTOMER: @AmazonHelp I forgot to cancel before my free trial ended. It says ""Prime Membership has been suspended"" but it won't let me End Membership.
[2017-10-27T00:12:34] SUPPORT: @424117 Uh oh! We'll need you to contact us directly, Salvador! Give us a call or chat here:  https://t.co/hApLpM3Ejd ^JD
[2017-10-27T00:23:01] CUSTOMER: @AmazonHelp Thank you!",prime_subscription,{'product': 'Prime'},unclear,,
conv_2834234,1,3,billing_payment,keyword,@AmazonHelp hi i thought the point of amazon pay was that i could use my balance? Seems like i only get the option to use card (i have enough balance),"[2017-11-27T14:21:06] CUSTOMER: @AmazonHelp hi i thought the point of amazon pay was that i could use my balance? Seems like i only get the option to use card (i have enough balance)
[2017-11-27T14:32:00] SUPPORT: @146721 Hi. Amazon Pay is used to make payments on third party websites using any of your associated payment methods. Although this does not include Amazon Gift Cards. These can only be used on an Amazon site. More info on Amazon Pay here: https://t.co/XvHwwHhbVX ^TI
[2017-11-27T14:33:",billing_payment,,unclear,,
conv_1721498,9,13,billing_payment,keyword,@AmazonHelp bought a Moto G5 Plus Amz Prime Ed but Moto does not rel timely secur fixes. Please rel bootloader unlock codes so we can fix it,"[2017-10-17T18:19:32] CUSTOMER: @AmazonHelp bought a Moto G5 Plus Amz Prime Ed but Moto does not rel timely secur fixes. Please rel bootloader unlock codes so we can fix it
[2017-10-17T18:29:35] SUPPORT: @520962 I'm sorry for the issue! Just to confirm; was this sold and shipped by Amazon or a third-party seller? ^WT
[2017-10-17T18:31:11] CUSTOMER: @AmazonHelp Bought directly from Amazon as a Prime phone.
[2017-10-17T18:32:41] CUSTOMER: @AmazonHelp https://t.co/uC94EQX3rN
[2017-10-17T18:42:33] S",billing_payment,{'product': 'Prime'},unclear,,
conv_2289957,19,6,non_english,keyword,Bonjour @AmazonHelp ! Existe il un moyen de se faire livrer des produits seulement disponible sur https://t.co/cFNVUYnPG4 en France ? (ceci : https://t.co/LfkXHTVPye). Merci :),"[2017-11-12T01:22:17] CUSTOMER: Bonjour @AmazonHelp ! Existe il un moyen de se faire livrer des produits seulement disponible sur https://t.co/cFNVUYnPG4 en France ? (ceci : https://t.co/LfkXHTVPye). Merci :)
[2017-11-12T06:13:51] SUPPORT: @221867 Bonjour, il est possible de se faire livrer des articles disponibles sur notre site partenaire en France. ^SM
[2017-11-12T11:30:10] CUSTOMER: @AmazonHelp C'est quoi la procédure à suivre s'il vous plaît
[2017-11-12T11:50:57] SUPPORT: @221867 Vous chois",non_english,,unclear,,
conv_20052,17,4,non_english,keyword,@AmazonHelp cannot change default wishlist in any app or browser regardless of mobile device. log out/in does not fix. Error message. Advise,"[2017-11-01T06:36:44] CUSTOMER: @AmazonHelp cannot change default wishlist in any app or browser regardless of mobile device. log out/in does not fix. Error message. Advise
[2017-11-01T06:44:29] SUPPORT: @120407 Sorry to hear that. What error message are you getting? ^RS
[2017-11-01T06:58:33] CUSTOMER: @AmazonHelp Amazon has encountered an error. Please try again shortly. This message appears every time I attempt to change my default list for days now.
[2017-11-01T07:13:30] SUPPORT: @120407 My a",non_english,,unclear,,
conv_989727,5,4,delivery_issue,keyword,@AmazonHelp hey there. I’m a Prime member and have just made an order on Prime Now but seem to have been charged £3.99 for delivery... why is this when I have Prime?,"[2017-11-25T10:52:10] CUSTOMER: @AmazonHelp hey there. I’m a Prime member and have just made an order on Prime Now but seem to have been charged £3.99 for delivery... why is this when I have Prime?
[2017-11-25T10:57:00] SUPPORT: @354456 Hey Gareth, you can find more info on Prime Now delivery charges here: https://t.co/4GZXPA1hL2 ^MA
[2017-11-25T10:59:57] CUSTOMER: @AmazonHelp Wait, what? So you take my £79 a year membership fee in return for free delivery and then start charging. 😱 Poor show Am",delivery_issue,{'product': 'Prime'},unclear,,
conv_2914453,14,11,delivery_issue,keyword,"@AmazonHelp hi, I ordered 2 books on Nov 10 on Amazon UK. One was available and  delivered. The other is not yet dispatched. What &amp; when?!","[2017-11-28T22:47:05] CUSTOMER: @AmazonHelp hi, I ordered 2 books on Nov 10 on Amazon UK. One was available and  delivered. The other is not yet dispatched. What &amp; when?!
[2017-11-28T22:59:45] SUPPORT: @806771 Hi, Georgina! Was the book you ordered shipped by Amazon or a seller on our site? You can check the status of your order here: https://t.co/mE0jjlU5uQ  ^SE
[2017-11-28T23:00:43] CUSTOMER: @AmazonHelp By Amazon!! Thus I am annoyed!!
[2017-11-28T23:01:58] CUSTOMER: @806771 @AmazonHelp Go",delivery_issue,,unclear,,
conv_1213038,8,6,billing_payment,keyword,@AmazonHelp @117795 We received an Amazon box of a dozen body lotions that we didn’t order. What now? #weird,"[2017-10-15T23:09:45] CUSTOMER: @AmazonHelp @117795 We received an Amazon box of a dozen body lotions that we didn’t order. What now? #weird
[2017-10-15T23:17:31] SUPPORT: @404725 Was the package addressed to you? Could it have been a gift? ^BH
[2017-10-16T00:19:57] CUSTOMER: @AmazonHelp Yes. And I really doubt it. Any way to check?
[2017-10-16T00:25:00] SUPPORT: @404725 Were there any papers or gift receipts inside the box? ^HC
[2017-10-16T00:35:47] CUSTOMER: @AmazonHelp No papers or gift recei",billing_payment,,unclear,,
